0.001, 0.001
0.002, 0.002
0.003, 0.003
0.004, 0.004
0.005, 0.005
0.006, 0.006
0.007, 0.007
0.007, 0.006
0.008, 0.007
0.009, 0.008
0.01, 0.009
0.01, 0.008
0.011, 0.009
0.011, 0.008
0.012, 0.009
0.012, 0.008
0.012, 0.007
0.013, 0.008
0.014, 0.009
0.015, 0.01
0.015, 0.011
0.015, 0.012
0.015, 0.013
0.016, 0.014
0.017, 0.015
0.017, 0.016
0.018, 0.017
0.019, 0.018
0.019, 0.019
0.02, 0.02
0.021, 0.021
0.022, 0.022
0.023, 0.023
0.023, 0.024
0.024, 0.025
0.025, 0.026
0.026, 0.027
0.027, 0.028
0.027, 0.027
0.028, 0.028
0.029, 0.029
0.03, 0.03
0.031, 0.031
0.032, 0.032
0.033, 0.033
0.034, 0.034
0.035, 0.035
0.036, 0.036
0.037, 0.037
0.038, 0.038
0.039, 0.039
0.039, 0.038
0.04, 0.039
0.041, 0.04
0.041, 0.039
0.042, 0.04
0.042, 0.039
0.043, 0.04
0.044, 0.041
0.045, 0.042
0.045, 0.041
0.046, 0.042
0.047, 0.043
0.048, 0.044
0.049, 0.045
0.049, 0.044
0.05, 0.045
0.051, 0.046
0.052, 0.047
0.053, 0.048
0.053, 0.047
0.054, 0.048
0.055, 0.049
0.056, 0.05
0.056, 0.049
0.057, 0.05
0.058, 0.051
0.059, 0.052
0.059, 0.051
0.06, 0.052
0.061, 0.053
0.062, 0.054
0.063, 0.055
0.063, 0.054
0.064, 0.055
0.065, 0.056
0.066, 0.057
0.067, 0.058
0.068, 0.059
0.069, 0.06
0.07, 0.061
0.07, 0.06
0.071, 0.061
0.072, 0.062
0.073, 0.063
0.074, 0.064
0.075, 0.065
0.076, 0.066
0.077, 0.067
0.077, 0.068
0.077, 0.069
0.078, 0.07
0.078, 0.071
0.079, 0.072
0.08, 0.073
0.081, 0.074
0.081, 0.075
0.082, 0.076
0.083, 0.077
0.084, 0.078
0.085, 0.079
0.086, 0.08
0.086, 0.081
0.087, 0.082
0.088, 0.083
0.089, 0.084
0.09, 0.085
0.091, 0.086
0.092, 0.087
0.093, 0.088
0.094, 0.089
0.095, 0.09
0.096, 0.091
0.097, 0.092
0.097, 0.093
0.098, 0.094
0.099, 0.095
0.1, 0.096
0.101, 0.097
0.102, 0.098
0.103, 0.099
0.104, 0.1
0.105, 0.101
0.106, 0.102
0.107, 0.103
0.108, 0.104
0.109, 0.105
0.109, 0.104
0.11, 0.105
0.11, 0.104
0.111, 0.105
0.112, 0.106
0.113, 0.107
0.114, 0.108
0.115, 0.109
0.116, 0.11
0.117, 0.111
0.118, 0.112
0.119, 0.113
0.119, 0.112
0.12, 0.113
0.121, 0.114
0.122, 0.115
0.122, 0.114
0.123, 0.115
0.124, 0.116
0.125, 0.117
0.126, 0.118
0.126, 0.117
0.127, 0.118
0.128, 0.119
0.129, 0.12
0.13, 0.121
0.131, 0.122
0.131, 0.121
0.132, 0.122
0.133, 0.123
0.134, 0.124
0.135, 0.125
0.135, 0.124
0.135, 0.123
0.136, 0.124
0.137, 0.125
0.138, 0.126
0.139, 0.127
0.139, 0.126
0.14, 0.127
0.141, 0.128
0.142, 0.129
0.142, 0.128
0.143, 0.129
0.144, 0.13
0.144, 0.129
0.145, 0.13
0.146, 0.131
0.147, 0.132
0.148, 0.133
0.148, 0.132
0.149, 0.133
0.15, 0.134
0.151, 0.135
0.152, 0.136
0.153, 0.137
0.154, 0.138
0.155, 0.139
0.156, 0.14
0.156, 0.139
0.157, 0.14
0.158, 0.141
0.159, 0.142
0.16, 0.143
0.161, 0.144
0.162, 0.145
0.163, 0.146
0.164, 0.147
0.164, 0.146
0.165, 0.147
0.166, 0.148
0.166, 0.147
0.166, 0.146
0.167, 0.147
0.167, 0.146
0.168, 0.147
0.169, 0.148
0.17, 0.149
0.171, 0.15
0.172, 0.151
0.173, 0.152
0.174, 0.153
0.175, 0.154
0.176, 0.155
0.176, 0.154
0.177, 0.155
0.178, 0.156
0.179, 0.157
0.18, 0.158
0.181, 0.159
0.182, 0.16
0.183, 0.161
0.183, 0.16
0.184, 0.161
0.185, 0.162
0.186, 0.163
0.187, 0.164
0.188, 0.165
0.189, 0.166
0.19, 0.167
0.191, 0.168
0.191, 0.167
